url,country,Threat-Oriented,Opportunity-Oriented,Cautionary,dominant_affect
https://uni-tuebingen.de/en/lehrende/generative-ki-in-lehre-und-forschung/guideline-of-the-university-of-tuebingen/,Germany,1,5,8,Cautionary
https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt,Canada,2,0,1,Threat-Oriented
https://warwick.ac.uk/fac/soc/law/student-hub/ai-guidance-students/,United Kingdom,3,9,13,Cautionary
https://www.adelaide.edu.au/technology/secure-it/generative-ai-it-security-guidelines,Australia,1,4,1,Opportunity-Oriented
https://www.anu.edu.au/students/academic-skills/academic-integrity/best-practice-principles/guide-for-students-best,Australia,10,5,15,Cautionary
https://www.curtin.edu.au/news/oasis-news/how-to-navigate-gen-ai-tools-at-curtin/,Australia,1,2,2,Opportunity-Oriented
https://www.gla.ac.uk/myglasgow/sld/ai/students/,United Kingdom,5,6,13,Cautionary
https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/,United Kingdom,3,3,7,Cautionary
https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance,United Kingdom,43,9,51,Cautionary
https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance,United Kingdom,8,13,23,Cautionary
https://www.law.berkeley.edu/wp-content/uploads/2025/08/Sedona-AI-guidelines-for-Judge.pdf,United States,1,10,5,Opportunity-Oriented
https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx,United Kingdom,0,3,3,Opportunity-Oriented
https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools,United Kingdom,5,39,21,Opportunity-Oriented
https://www.sgs.utoronto.ca/about/guidance-on-the-use-of-generative-artificial-intelligence/,Canada,7,10,34,Cautionary
https://www.staffnet.manchester.ac.uk/dcmsr/communications/ai-guidelines/,United Kingdom,4,16,11,Opportunity-Oriented
https://www.sydney.edu.au/news-opinion/news/2024/11/27/university-of-sydney-ai-assessment-policy.html,Australia,1,5,3,Opportunity-Oriented
https://www.tu.berlin/en/dima/news-details/announcement-the-usage-of-ai-tools-policy,Germany,6,0,1,Threat-Oriented
https://www.tum.de/en/news-and-events/all-news/press-releases/details/guidelines-for-the-use-of-ai-in-science,Germany,1,0,2,Cautionary
https://www.ualberta.ca/en/centre-for-teaching-and-learning/resources/generative-ai/academic-integrity-ai-use/index.html,Canada,17,18,41,Cautionary
https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment,United Kingdom,5,4,15,Cautionary
https://www.uni-erfurt.de/en/studies/study-services/digital-learning-teaching/generative-ai-in-studies,Germany,6,7,5,Opportunity-Oriented
https://www.uni-jena.de/en/278883/working-with-generative-ai-tools-at-the-university-of-jena,Germany,2,2,9,Cautionary
https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/ai#levels,Australia,5,8,16,Cautionary
https://www.uottawa.ca/faculty-social-sciences/sites/g/files/bhrskd371/files/2025-06/Policy%20on%20use%20of%20generative%20artificial%20intelligence%20%28AI%29%20in%20Major%20Research%20Papers%20%28MRP%29.pdf,Canada,2,3,3,Opportunity-Oriented
https://www.upeifa.ca/wp-content/uploads/2024/01/4.-Guidelines-on-the-Use-of-Generative-AI-in-Teaching-and-Learning.pdf,Canada,7,7,6,Threat-Oriented
https://www.uregina.ca/policy/browse-policy/policy-ops-080-050.html,Canada,9,7,18,Cautionary
https://www.uts.edu.au/about/leadership-governance/policies/a-z/artificial-intelligence-operations-policy,Australia,28,13,33,Cautionary
https://www.uwa.edu.au/students/-/media/project/uwa/uwa/students/academic-support/ai-assessment-guidelines-student_2025_final.pdf,Australia,0,13,2,Opportunity-Oriented
